タイトル,ソース,URL,日付,記事タイプ,作家名,作品・シリーズ・写真集・展示名,判定ストリートジャンル,一致キーワード,関連度スコア,選んだ理由,自分の撮影に役立ちそうな点
Dispatches From The Front: Sergey Melnitchenko On Ukranian Collective Memory,PhMuseum,https://phmuseum.com/news/dispatches-from-the-front-sergey-melnitchenkos-collective-memory-project,不明,受賞/コンテスト結果 (Award or Contest Result),Sergey Melnitchenko,Ukranian Collective Memory,静かな物語 (Silent Stories),"awards, memory, project",22.55,受賞、ファイナリスト、ショートリストなどの語があり、外部評価を受けた作品を確認できる記事です。,"審査で評価される主題、編集、視覚的な挑戦、現代のストリート写真表現を比較する材料になります。 一致キーワード（awards, memory, project）を、記事を読むときの観察メモとして使えます。 人が去った後に残る痕跡、不在、記憶、使われた気配を探す視点に転用できます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Photobook Review: Goalkeepers – From The Fields Of Europe By Hans Van Der Meer,PhMuseum,https://phmuseum.com/news/photobook-review-goalkeepers-from-the-fields-of-europe-by-hans-van-der-meer,不明,写真集 (Photobook),Photobook Review: Goalkeepers,From The Fields Of Europe,静かな物語 (Silent Stories),"photobook, review",22.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photobook, review）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Photobook Review: Water Over Thunder By Larry Sultan,PhMuseum,https://phmuseum.com/news/photobook-review-water-over-thunder-by-larry-sultan,不明,写真集 (Photobook),Larry Sultan,Water Over Thunder,静かな物語 (Silent Stories),"photobook, review",22.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photobook, review）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Tractor Beam is a “soilpunk” sci-fi magazine with psychedelic design that teleports you to another world,It's Nice That,https://www.itsnicethat.com/articles/claire-gustavson-lana-z-porter-tractor-beam-illustration-publication-project-160626,2026-06-16T08:00:00+00:00,ポートフォリオ/シリーズ (Portfolio or Series),psychedelic design that teleports,soilpunk,ファインアート・ストリート (Fine Art Street),project,19.65,単発ニュースではなく、まとまった作品シリーズ、プロジェクト、ポートフォリオを紹介している可能性が高い記事です。,反復するモチーフ、写真の並び、編集、1枚ずつの写真がどう意味を積み重ねるかを考える材料になります。 一致キーワード（project）を、記事を読むときの観察メモとして使えます。 構図、色、写真の並び、展示文脈によって日常の街の素材が作品になる過程を見ると参考になります。
“Transcendent Country of the Mind” by Sari Soininen,Burn Magazine,https://www.burnmagazine.org/essays/2023/05/transcendent-country-of-the-mind-by-sari-soininen/,2023-05-27,ポートフォリオ/シリーズ (Portfolio or Series),Sari Soininen,Transcendent Country of the Mind,ファインアート・ストリート (Fine Art Street),project,19.65,単発ニュースではなく、まとまった作品シリーズ、プロジェクト、ポートフォリオを紹介している可能性が高い記事です。,反復するモチーフ、写真の並び、編集、1枚ずつの写真がどう意味を積み重ねるかを考える材料になります。 一致キーワード（project）を、記事を読むときの観察メモとして使えます。 構図、色、写真の並び、展示文脈によって日常の街の素材が作品になる過程を見ると参考になります。
“Mezen: By Sky’s Edge” by Emil Gataullin,Burn Magazine,https://www.burnmagazine.org/essays/2022/12/mezen-by-skys-edge-by-emil-gataullin/,2022-12-08,ポートフォリオ/シリーズ (Portfolio or Series),Sky’s Edge,Mezen: By Sky’s Edge,ファインアート・ストリート (Fine Art Street),project,19.65,単発ニュースではなく、まとまった作品シリーズ、プロジェクト、ポートフォリオを紹介している可能性が高い記事です。,反復するモチーフ、写真の並び、編集、1枚ずつの写真がどう意味を積み重ねるかを考える材料になります。 一致キーワード（project）を、記事を読むときの観察メモとして使えます。 構図、色、写真の並び、展示文脈によって日常の街の素材が作品になる過程を見ると参考になります。
Jan Staller – Manhattan Project,Photobook Journal,https://photobookjournal.com/2026/06/11/jan-staller-manhattan-project/,2026-06-11,ポートフォリオ/シリーズ (Portfolio or Series),Jan Staller,Manhattan Project,ファインアート・ストリート (Fine Art Street),"city, project, review",19.65,単発ニュースではなく、まとまった作品シリーズ、プロジェクト、ポートフォリオを紹介している可能性が高い記事です。,"反復するモチーフ、写真の並び、編集、1枚ずつの写真がどう意味を積み重ねるかを考える材料になります。 一致キーワード（city, project, review）を、記事を読むときの観察メモとして使えます。 構図、色、写真の並び、展示文脈によって日常の街の素材が作品になる過程を見ると参考になります。"
Magnum Book Club: America in Crisis,Magnum Photos,https://www.magnumphotos.com/theory-and-practice/photobooks/magnum-book-club-america-in-crisis/,2026-05-29,作家特集 (Photographer Feature),Magnum Book Club,America in Crisis,静かな物語 (Silent Stories),practice,19.05,一般的な写真ニュースではなく、特定の作家やアーティストの視点・活動に焦点が当たっているため選びました。,一人の作家がどのように視点、被写体との距離、反復する関心を作っているかを見る材料になります。 一致キーワード（practice）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。
Artist Talk: KATAYAMA Mari and TAWADA Yuki,The Photographers' Gallery,https://thephotographersgallery.org.uk/whats-on/artist-talk-katayama-mari-and-tawada-yuki,不明,作家特集 (Photographer Feature),TAWADA Yuki,KATAYAMA Mari and TAWADA Yuki,静かな物語 (Silent Stories),artist,19.05,一般的な写真ニュースではなく、特定の作家やアーティストの視点・活動に焦点が当たっているため選びました。,一人の作家がどのように視点、被写体との距離、反復する関心を作っているかを見る材料になります。 一致キーワード（artist）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。
"Book Launch, Talk & Signing, Matthew Connors: The Axe Will Survive the Master",The Photographers' Gallery,https://thephotographersgallery.org.uk/whats-on/book-launch-talk-signing-matthew-connors-axe-will-survive-master,不明,写真集 (Photobook),The Axe Will,The Axe Will Survive the Master,静かな物語 (Silent Stories),book launch,19.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（book launch）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。
Huda Abdulmughni – Qeshm Doors,Photobook Journal,https://photobookjournal.com/2026/06/08/huda-abdulmughni-qeshm-doors/,2026-06-08,作家特集 (Photographer Feature),Huda Abdulmughni,Qeshm Doors,静かな物語 (Silent Stories),"photographer, review",19.05,一般的な写真ニュースではなく、特定の作家やアーティストの視点・活動に焦点が当たっているため選びました。,"一人の作家がどのように視点、被写体との距離、反復する関心を作っているかを見る材料になります。 一致キーワード（photographer, review）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Isabelle Cordemans – widow without whiskey bottles,Photobook Journal,https://photobookjournal.com/2026/05/21/isabelle-cordemans-widow-without-whiskey-bottles/,2026-05-21,写真集 (Photobook),Isabelle Cordemans,widow without whiskey bottles,静かな物語 (Silent Stories),"photobook, publisher, review",19.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photobook, publisher, review）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Behind the Image: Werner Bischof and the Devin Tricolor,Magnum Photos,https://www.magnumphotos.com/theory-and-practice/behind-the-image-werner-bischof-and-the-devin-tricolor/,2026-06-10,作家特集 (Photographer Feature),Devin Tricolor,Werner Bischof and the Devin Tricolor,静かな物語 (Silent Stories),practice,18.05,一般的な写真ニュースではなく、特定の作家やアーティストの視点・活動に焦点が当たっているため選びました。,一人の作家がどのように視点、被写体との距離、反復する関心を作っているかを見る材料になります。 一致キーワード（practice）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。
An Infrastructure Of Care: Beatriz De Souza Lima On Exhibiting At PhMuseum Days,PhMuseum,https://phmuseum.com/news/beatriz-de-souza-lima-on-exhibiting-at-phmuseum-days,不明,受賞/コンテスト結果 (Award or Contest Result),Beatriz De Souza Lima,Exhibiting At PhMuseum Days,静かな物語 (Silent Stories),awards,18.05,受賞、ファイナリスト、ショートリストなどの語があり、外部評価を受けた作品を確認できる記事です。,審査で評価される主題、編集、視覚的な挑戦、現代のストリート写真表現を比較する材料になります。 一致キーワード（awards）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。
Void | Photography Books,VOID,https://void.photo/,不明,写真集 (Photobook),Photography Books,不明,静かな物語 (Silent Stories),"photo book, publisher",18.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
→ Our Whole Catalogue,VOID,https://void.photo/store,不明,写真集 (Photobook),Our Whole Catalogue,不明,静かな物語 (Silent Stories),"photo book, publisher",18.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
13 Photobooks For Spring 2026,PhMuseum,https://phmuseum.com/news/a-spring-guide-to-photobooks,不明,受賞/コンテスト結果 (Award or Contest Result),Photobooks For Spring,不明,静かな物語 (Silent Stories),"awards, guide",17.05,受賞、ファイナリスト、ショートリストなどの語があり、外部評価を受けた作品を確認できる記事です。,"審査で評価される主題、編集、視覚的な挑戦、現代のストリート写真表現を比較する材料になります。 一致キーワード（awards, guide）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Exhibition Tour: Japanese Women Photographers - From 1950s to Now,The Photographers' Gallery,https://thephotographersgallery.org.uk/whats-on/exhibition-tour-japanese-women-photographers-1950s-now,不明,展示 (Exhibition),Exhibition Tour: Japanese Women Photographers,From 1950s to Now,ファインアート・ストリート (Fine Art Street),exhibition,15.90,展示、ギャラリー、美術館に関する語があり、作品がどのように文脈化されているかを見られる記事です。,キュレーション、写真の順番、展示サイズ、ストリート写真が空間体験になる方法を学ぶ材料になります。 一致キーワード（exhibition）を、記事を読むときの観察メモとして使えます。 構図、色、写真の並び、展示文脈によって日常の街の素材が作品になる過程を見ると参考になります。
Lily Li uses watercolour paint “like snow” to translate the illusions and struggles of immigration,It's Nice That,https://www.itsnicethat.com/articles/lily-li-northbound-illustration-project-100626,2026-06-10T08:00:00+00:00,ポートフォリオ/シリーズ (Portfolio or Series),Lily Li,like snow,ファインアート・ストリート (Fine Art Street),project,15.65,単発ニュースではなく、まとまった作品シリーズ、プロジェクト、ポートフォリオを紹介している可能性が高い記事です。,反復するモチーフ、写真の並び、編集、1枚ずつの写真がどう意味を積み重ねるかを考える材料になります。 一致キーワード（project）を、記事を読むときの観察メモとして使えます。 構図、色、写真の並び、展示文脈によって日常の街の素材が作品になる過程を見ると参考になります。
Lenny Gerard: Day vs. Night Juxtaposition,Lenscratch,https://lenscratch.com/2026/06/lenny-gerard-day-vs-night-juxtaposition/,2026-06-18,インタビュー (Interview),Night Juxtaposition,Day vs. Night Juxtaposition,ユーモア/決定的瞬間 (Humor or Decisive Moment),"identity, interview, juxtaposition",15.60,インタビュー形式のため、作家本人の考え方や制作プロセスが読める可能性が高い記事です。,"撮影習慣、よく扱う被写体、街で試せる判断基準を拾う材料になります。 一致キーワード（identity, interview, juxtaposition）を、記事を読むときの観察メモとして使えます。 すぐに撮って終わりにせず、タイミング、身振り、並置が揃う位置を探す練習になります。 タイミング、身振り、並置、瞬間が読み取れる立ち位置を観察すると撮影に活かせます。"
